GlucoseInternalTime,GlucoseValue
1447060046.0,4.38
1447060346.0,4.22
1447060646.0,3.83
1447060946.0,3.44
1447061246.0,3.22
1447061546.0,3.11
1447061846.0,3.16
1447062146.0,2.77
1447062446.0,2.44
1447062746.0,2
1447063046.0,2
1447063346.0,2
1447063646.0,2
1447063946.0,2
1447064246.0,2
1447064546.0,2
1447064846.0,2
1447065146.0,2
1447065446.0,2.22
1447065746.0,2.39
1447066046.0,2.66
1447066346.0,2.94
1447066646.0,3.22
1447066946.0,3.44
1447067246.0,3.66
1447067546.0,4.05
1447067846.0,4.33
1447068146.0,4.55
1447068446.0,4.77
1447068746.0,4.83
1447069046.0,4.94
1447069346.0,5.27
1447069646.0,5.72
1447069946.0,5.99
1447070246.0,6.10
1447070546.0,5.88
1447070846.0,5.72
1447071146.0,5.60
1447071446.0,5.88
1447071746.0,5.99
1447072046.0,6.10
1447072346.0,6.16
1447072646.0,5.94
1447072946.0,5.72
1447073246.0,5.88
1447073546.0,5.94
1447073846.0,5.94
1447074146.0,5.83
1447074446.0,5.83
1447074746.0,5.72
1447075046.0,5.66
1447075346.0,5.55
1447075646.0,5.44
1447075946.0,5.44
1447076246.0,5.44
1447076546.0,5.66
1447076846.0,5.77
1447077146.0,5.77
1447077446.0,5.66
1447077746.0,5.38
1447078046.0,4.88
1447078346.0,4.83
1447078646.0,4.99
1447078946.0,4.88
1447079246.0,4.99
1447079546.0,5.11
1447079846.0,5.11
1447080146.0,5.05
1447080446.0,4.88
1447080746.0,4.88
1447081046.0,4.72
1447081346.0,4.77
1447081646.0,4.66
1447081946.0,4.44
1447082246.0,4.44
1447082546.0,4.33
1447082846.0,4.05
1447083146.0,4.05
1447083446.0,4.05
1447083746.0,4.05
1447084045.0,4.00
1447084345.0,3.88
1447084645.0,5.22
1447084946.0,5.44
1447085245.0,5.11
1447085545.0,5.16
1447085845.0,5.22
1447086146.0,5.49
1447086446.0,5.44
1447086745.0,5.22
1447087045.0,5.05
1447087346.0,4.99
1447087645.0,5.05
1447087945.0,4.72
1447088245.0,4.50
1447088545.0,4.44
1447088845.0,4.55
1447089145.0,4.99
1447089446.0,5.27
1447089745.0,5.38
1447090045.0,5.27
1447090345.0,4.94
1447090645.0,4.72
1447090945.0,4.94
1447091245.0,4.88
1447091545.0,5.16
1447091845.0,5.77
1447092145.0,6.49
1447092445.0,7.05
1447092745.0,7.44
1447093045.0,7.77
1447093345.0,7.94
1447093645.0,7.77
1447093946.0,7.38
1447094245.0,6.71
1447094545.0,6.05
1447094845.0,5.33
1447095146.0,4.66
1447095446.0,3.22
1447095745.0,2.89
1447096045.0,2.61
1447096345.0,2.33
1447096645.0,2.22
1447096945.0,2.22
1447097245.0,2.50
1447097545.0,2.39
1447097845.0,2.77
1447098145.0,3.33
1447098445.0,3.88
1447098745.0,4.38
1447099045.0,4.77
1447099346.0,5.44
1447099645.0,5.66
1447099945.0,5.99
1447100245.0,6.44
1447100545.0,6.77
1447100845.0,7.33
1447101145.0,7.16
1447101445.0,7.05
1447101745.0,6.94
1447102045.0,7.05
1447102345.0,6.99
1447102645.0,6.88
1447102945.0,6.77
1447103245.0,6.66
1447103545.0,6.60
1447103845.0,6.49
1447104145.0,6.44
1447104445.0,6.33
1447104745.0,6.38
1447105045.0,6.27
1447105345.0,6.49
