Start,Finish,Heart Rate (count/min)
1447052580.0,1447052580.0,76.0
1447053120.0,1447053120.0,81.0
1447053960.0,1447053960.0,49.0
1447054560.0,1447054560.0,85.0
1447055460.0,1447055460.0,74.0
1447056540.0,1447056540.0,81.0
1447057080.0,1447057080.0,78.0
1447057740.0,1447057740.0,74.0
1447058340.0,1447058340.0,76.0
1447058880.0,1447058880.0,74.0
1447059480.0,1447059480.0,81.0
1447060020.0,1447060020.0,64.0
1447060740.0,1447060740.0,88.0
1447061280.0,1447061280.0,98.0
1447061280.0,1447061280.0,102.0
1447061280.0,1447061280.0,103.0
1447061280.0,1447061280.0,103.0
1447061280.0,1447061280.0,103.0
1447061280.0,1447061280.0,103.0
1447061280.0,1447061280.0,103.0
1447061280.0,1447061280.0,102.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,101.0
1447061340.0,1447061340.0,104.0
1447061340.0,1447061340.0,105.0
1447061340.0,1447061340.0,105.0
1447061340.0,1447061340.0,104.0
1447061400.0,1447061400.0,104.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,103.0
1447061400.0,1447061400.0,103.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,102.0
1447061400.0,1447061400.0,101.0
1447061400.0,1447061400.0,101.0
1447061460.0,1447061460.0,101.0
1447061460.0,1447061460.0,102.0
1447061460.0,1447061460.0,103.0
1447061460.0,1447061460.0,104.0
1447061460.0,1447061460.0,103.0
1447061460.0,1447061460.0,104.0
1447061460.0,1447061460.0,104.0
1447061460.0,1447061460.0,103.0
1447061460.0,1447061460.0,103.0
1447061460.0,1447061460.0,103.0
1447061460.0,1447061460.0,102.0
1447061460.0,1447061460.0,101.0
1447061520.0,1447061520.0,100.0
1447061520.0,1447061520.0,100.0
1447061520.0,1447061520.0,99.0
1447061520.0,1447061520.0,99.0
1447061520.0,1447061520.0,99.0
1447061520.0,1447061520.0,100.0
1447061520.0,1447061520.0,101.0
1447061520.0,1447061520.0,102.0
1447061520.0,1447061520.0,103.0
1447061520.0,1447061520.0,104.0
1447061520.0,1447061520.0,103.0
1447061520.0,1447061520.0,103.0
1447061580.0,1447061580.0,103.0
1447061580.0,1447061580.0,103.0
1447061580.0,1447061580.0,104.0
1447061580.0,1447061580.0,104.0
1447061580.0,1447061580.0,104.0
1447061580.0,1447061580.0,103.0
1447061580.0,1447061580.0,101.0
